x [um],y [um],Vmem [mV]
6.702241665505844992e+01,1.567166887560530419e+01,-1.001849354483640830e+01
8.522441591765118574e+01,1.402230134563802011e+01,-1.007333665610787854e+01
1.019064586335935587e+02,1.587261860677653047e+01,-1.018811494899377479e+01
5.030546013922323567e+01,2.546064710892001770e+01,-9.968925149599177971e+00
6.760962626570284328e+01,2.379009543860814091e+01,-9.996025868486023924e+00
8.502966229615660154e+01,2.317614351200260359e+01,-1.008467378043220997e+01
1.018432507587564828e+02,2.447778990928483012e+01,-1.023233287281107451e+01
3.538174329868804335e+01,3.357557109362333136e+01,-1.000365972600107334e+01
5.048730270245597040e+01,3.364386651899209824e+01,-9.955681461093266904e+00
6.775331825439242550e+01,3.299111967313902483e+01,-1.001424448795114941e+01
8.485585393354048733e+01,3.279692267385352267e+01,-1.018532286815639942e+01
1.018794751490162156e+02,3.358554024403086657e+01,-1.044139951037837477e+01
3.294013931736018463e+01,4.159218914240190657e+01,-9.952855130229577796e+00
5.062479345161151656e+01,4.272609099777660902e+01,-9.957160900256647906e+00
6.770126419103448256e+01,4.241732473397230763e+01,-1.008600230521423491e+01
8.466203711625888673e+01,4.228346178115781839e+01,-1.041814140307820757e+01
1.019916673754069905e+02,4.264527200213951375e+01,-1.091628160375509538e+01
1.983507974513414140e+01,5.425922237607320398e+01,-1.003546097045337859e+01
3.424577141187489815e+01,5.176620576121207051e+01,-9.940718847197063113e+00
5.033815851486040316e+01,5.185299481496544161e+01,-9.978092889239547958e+00
6.765266772036279974e+01,5.187775628834643982e+01,-1.021991337659764554e+01
8.480362778837962878e+01,5.182745134033666545e+01,-1.086384860840571598e+01
1.020259157982485618e+02,5.182217657674420508e+01,-1.187645637727376347e+01
1.363993600429188291e+02,5.183296253078535898e+01,-1.314318874457195818e+01
1.832083849396099140e+01,6.171568164303829462e+01,-9.986173390678604989e+00
3.424692331274894741e+01,6.185637506186537848e+01,-9.939019160599759317e+00
5.055712845396254806e+01,6.137937061641263625e+01,-1.002292053656551118e+01
6.761644054562187023e+01,6.129823772893617928e+01,-1.041789828958283692e+01
8.485502002827335843e+01,6.137230779051592577e+01,-1.158147457787049817e+01
1.021223736723735982e+02,6.119739624018993140e+01,-1.400672857470207866e+01
1.194293886583812849e+02,6.111588532793997075e+01,-1.674805091613017538e+01
1.368543351657714879e+02,6.122834477044433754e+01,-1.511100765350822073e+01
1.511756105468031706e+02,6.178918271895937409e+01,-1.391565730309275573e+01
1.738917410508698680e+01,7.041786498492146507e+01,-9.970324031983553326e+00
3.363639665776916843e+01,7.134042027796238017e+01,-9.940476164933208736e+00
5.080047263429531057e+01,7.088629748365272576e+01,-1.008090362261479811e+01
6.782622473214789238e+01,7.084181608168530886e+01,-1.067940924906748101e+01
8.502293668020122652e+01,7.083194670112833080e+01,-1.258531162812322890e+01
1.022543085889861061e+02,7.072633040163223939e+01,-1.694050856816011219e+01
1.194534597018338360e+02,7.047733563719695837e+01,-2.096318484391160197e+01
1.365955457621938081e+02,7.074705500092046861e+01,-1.847051842545653599e+01
1.530485551650102423e+02,7.085432188441038193e+01,-1.518963801216091625e+01
1.728239032739156400e+01,8.032148606846885741e+01,-9.975489625795063375e+00
3.348612951532344795e+01,8.056573228810849230e+01,-9.947328072824335621e+00
5.091197048333330599e+01,8.024273380328928340e+01,-1.013593887414086581e+01
6.803250872143466665e+01,8.044211494816619279e+01,-1.095459933165709820e+01
8.499623325843757016e+01,8.033555657287526230e+01,-1.369392515401343147e+01
1.021638023081584521e+02,8.035392613709970533e+01,-1.999621208981625387e+01
1.193219111026096044e+02,7.999959887278535575e+01,-2.428210328052606215e+01
1.365308734173427183e+02,8.018502672604928705e+01,-2.185797223070943929e+01
1.535146185201190576e+02,7.977582228728157077e+01,-1.648822330799443847e+01
1.668763117989378131e+01,8.848566619797732358e+01,-1.002834033011499137e+01
3.384806216532030021e+01,9.013148869169509680e+01,-9.956360289634231364e+00
5.085389710233354066e+01,8.964910532512151065e+01,-1.017245656487657435e+01
6.786446274958849756e+01,9.014942649912231332e+01,-1.112947992358630778e+01
8.482190852315309826e+01,8.990998958160818688e+01,-1.451747887328612485e+01
1.020797355425869171e+02,8.989955495721024192e+01,-2.223321974103746612e+01
1.193161527944788105e+02,8.953180384635926714e+01,-2.496962741608567882e+01
