# time_s,Cell_Conc_X_mmol/L,Env_Conc_X_mmol/L,
1.002865329512894104e-03,5.611356665181614391e-25,0.000000000000000000e+00
2.005730659025788207e-03,5.623822392976990789e-25,0.000000000000000000e+00
3.008595988538682094e-03,5.636313198831630965e-25,0.000000000000000000e+00
4.011461318051576415e-03,5.648829127537274207e-25,0.000000000000000000e+00
5.014326647564470302e-03,5.661370223879124785e-25,0.000000000000000000e+00
6.017191977077364189e-03,5.673936532605211962e-25,0.000000000000000000e+00
7.020057306590258075e-03,5.686528098378573085e-25,0.000000000000000000e+00
8.022922636103152830e-03,5.699144965698765462e-25,0.000000000000000000e+00
9.025787965616045849e-03,5.711787178764710965e-25,0.000000000000000000e+00
1.002865329512894060e-02,5.724454781215527995e-25,0.000000000000000000e+00
1.103151862464183536e-02,5.737147815588361346e-25,0.000000000000000000e+00
1.203438395415472838e-02,5.749866322026084124e-25,0.000000000000000000e+00
1.303724928366762313e-02,5.762610334714118143e-25,0.000000000000000000e+00
1.404011461318051615e-02,5.775379872944926483e-25,0.000000000000000000e+00
1.504297994269341091e-02,5.788174957865407315e-25,0.000000000000000000e+00
1.604584527220630566e-02,5.800995686088139104e-25,0.000000000000000000e+00
1.704871060171920041e-02,5.813842117372048670e-25,0.000000000000000000e+00
1.805157593123209170e-02,5.826714284961334911e-25,0.000000000000000000e+00
1.905444126074498645e-02,5.839612237697061684e-25,0.000000000000000000e+00
2.005730659025788121e-02,5.852536029543718037e-25,0.000000000000000000e+00
2.106017191977077596e-02,5.865485714437245034e-25,0.000000000000000000e+00
2.206303724928367072e-02,5.878461344743206857e-25,0.000000000000000000e+00
2.306590257879656200e-02,5.891462970748457457e-25,0.000000000000000000e+00
2.406876790830945675e-02,5.904490641104784979e-25,0.000000000000000000e+00
2.507163323782235151e-02,5.917544403986016055e-25,0.000000000000000000e+00
2.607449856733524626e-02,5.930624307316789964e-25,0.000000000000000000e+00
2.707736389684814102e-02,5.943730398882324089e-25,0.000000000000000000e+00
2.808022922636103230e-02,5.956862726394916593e-25,0.000000000000000000e+00
2.908309455587392706e-02,5.970021337533541292e-25,0.000000000000000000e+00
3.008595988538682181e-02,5.983206279639963998e-25,0.000000000000000000e+00
3.108882521489971656e-02,5.996417599062921365e-25,0.000000000000000000e+00
3.209169054441261132e-02,6.009655342141702013e-25,0.000000000000000000e+00
3.309455587392550607e-02,6.022919555426800588e-25,0.000000000000000000e+00
3.409742120343840083e-02,6.036210285660815067e-25,0.000000000000000000e+00
