x [um],y [um],Vmem [mV]
6.793634776985835799e+01,1.624802813531182721e+01,-4.047083464063272373e+01
8.414981924806436098e+01,1.573621636486807240e+01,-4.047578732525897038e+01
1.006821704688131405e+02,1.651527044382931564e+01,-4.047842239237088791e+01
5.205701807714647344e+01,2.422695711034390342e+01,-4.046949807640225316e+01
6.808713810920913545e+01,2.367494660856699085e+01,-4.047140942407462916e+01
8.470221897040669035e+01,2.316218815852826296e+01,-4.048041275395166139e+01
1.019766257800810223e+02,2.366773779504215369e+01,-4.047887391649254596e+01
3.495765593940155469e+01,3.524851093938082869e+01,-4.046676548520349570e+01
5.094626433903659546e+01,3.316165527028179127e+01,-4.047011624371945260e+01
6.802813045263471281e+01,3.297725284858358918e+01,-4.047514209729223467e+01
8.529409858430892655e+01,3.246949062951185283e+01,-4.048834775489124382e+01
1.023033210677635054e+02,3.307815414347576422e+01,-4.048715764103655346e+01
3.233681796840045308e+01,4.276092414358610228e+01,-4.046856676026256139e+01
5.049111821598122418e+01,4.273383237925916234e+01,-4.047185773611872150e+01
6.773557125906090448e+01,4.217365144206597449e+01,-4.048188078305170023e+01
8.480240516869585576e+01,4.177379440178049208e+01,-4.050116802139150707e+01
1.019012354458045451e+02,4.247362393068561914e+01,-4.050018049538314102e+01
1.954610486730212671e+01,5.324890416438039864e+01,-4.046517218897143664e+01
3.355239595435595135e+01,5.186087630216861299e+01,-4.046871908080436242e+01
5.069542009760542101e+01,5.226490157699314665e+01,-4.047455549413533760e+01
6.770370143265637353e+01,5.156301714956251914e+01,-4.049053870229712260e+01
8.444105721305159307e+01,5.129130024239301378e+01,-4.052593590610625540e+01
1.013538493317659430e+02,5.178295933376311666e+01,-4.052559862168587301e+01
1.365764173969967885e+02,5.204585796725733360e+01,-4.069359456399904929e+01
1.808295839292131646e+01,6.152043322452831831e+01,-4.046518507585864910e+01
3.420701675874130387e+01,6.170425482396817785e+01,-4.046974337789919218e+01
5.099615134292667307e+01,6.169043830696274711e+01,-4.047756093939459276e+01
6.806475050317061459e+01,6.125936313277058787e+01,-4.050488486360071505e+01
8.463380621108376545e+01,6.096617571473805697e+01,-4.055987916445045016e+01
1.014938100563970664e+02,6.118992581458081759e+01,-4.059632924389831743e+01
1.190374656693722812e+02,6.169554370627230355e+01,-4.071995139245714768e+01
1.366522758482444715e+02,6.100246782403409895e+01,-4.062036465131391338e+01
1.519111946281974781e+02,6.285408041547150049e+01,-4.065083577532411852e+01
1.782270198452088650e+01,7.041719514307735039e+01,-4.046552273224449436e+01
3.392839686314333392e+01,7.134757542420030063e+01,-4.047104392558325969e+01
5.081611476959110263e+01,7.107579286301528043e+01,-4.048261088260341012e+01
6.801088093762352571e+01,7.083594994968463254e+01,-4.051988701994028474e+01
8.502777307107668037e+01,7.072915260123782843e+01,-4.059015273583174377e+01
1.018902025139290970e+02,7.079714806836791752e+01,-4.044684824059508799e+01
1.191413032448172657e+02,7.088916976578352092e+01,-3.930583585925540291e+01
1.365868812775841263e+02,7.062201606089928418e+01,-4.023110392615701869e+01
1.529633031574221320e+02,7.107479251180437529e+01,-4.064837855768256247e+01
1.671757326800980081e+01,7.971153332702810701e+01,-4.046524257225940602e+01
3.340193917101882448e+01,8.087336710330967549e+01,-4.047017210015499700e+01
5.066521874400011427e+01,8.046091472934678279e+01,-4.048562719336172933e+01
6.768785756335647363e+01,8.037106753263512360e+01,-4.053282525873466824e+01
8.495257261055769504e+01,8.016634192281713922e+01,-4.059366855327012757e+01
1.022086918062137784e+02,8.054912979432420173e+01,-3.984743550396367340e+01
1.194516225922179444e+02,8.011864114704083306e+01,-3.317880490780831337e+01
1.367206344856354860e+02,8.005339325220295166e+01,-3.903413980873168043e+01
1.530344134981032767e+02,8.080380087242768639e+01,-4.061741964952872763e+01
1.627682813282098806e+01,9.009394243484352671e+01,-4.046617522217518115e+01
3.302702092266011391e+01,9.001231379245604103e+01,-4.047065378818538051e+01
5.071729307053072944e+01,8.982806708935954987e+01,-4.048743982081262516e+01
6.769683694492300674e+01,8.989920090733832581e+01,-4.054121762354247238e+01
8.474919316016585924e+01,8.954576124178673524e+01,-4.057654184641590689e+01
1.024460258638113288e+02,8.986658032601879142e+01,-3.865317874715691460e+01
1.196380656176774977e+02,8.958899480228151901e+01,-2.991218156384370275e+01
1.364778842054613790e+02,8.965112997602945200e+01,-3.768767348020747932e+01
1.517009607811205854e+02,9.054897005849207403e+01,-4.054188639371395197e+01
1.623947951350515240e+01,9.980173446859379283e+01,-4.046640497027593852e+01
3.320844795160920881e+01,9.911560029894751267e+01,-4.047257303449136145e+01
5.060422846796378593e+01,9.906638015731054736e+01,-4.048879217526359042e+01
6.778221859974618724e+01,9.945441142718739513e+01,-4.054405871376643944e+01
8.472863607450329937e+01,9.893571052906381169e+01,-4.056795965253292024e+01
1.020315408527148549e+02,9.905557798785133627e+01,-3.811683115027794599e+01
1.193927348534038799e+02,9.915124690909567562e+01,-2.920198319998993242e+01
1.360738049685527926e+02,9.945827494779108235e+01,-3.755990960325818406e+01
1.527006912610999620e+02,9.954779398837929705e+01,-4.057184402632469045e+01
1.813876298572964885e+01,1.090665243499686738e+02,-4.046743177803631397e+01
3.366666829331651911e+01,1.084758188195186790e+02,-4.047300748108946777e+01
5.045123221945689096e+01,1.082969385200517394e+02,-4.048692434769490944e+01
6.774969592043817102e+01,1.088669057004018725e+02,-4.053772602133700786e+01
8.495999676475888407e+01,1.085014126514312665e+02,-4.058193325050915234e+01
1.018313831650354757e+02,1.083836027078457818e+02,-3.908417193425223246e+01
1.190103002391686857e+02,1.086581927267338727e+02,-3.201704588340535906e+01
1.357779457627235331e+02,1.088638086082997631e+02,-3.882559412675110622e+01
1.526444236613776013e+02,1.082913421432371450e+02,-4.061426468504754439e+01
2.030933358002763356e+01,1.174874537100408816e+02,-4.046864358879548718e+01
3.435323450679699420e+01,1.183445288302733758e+02,-4.047192100957562388e+01
5.052090629147603096e+01,1.176803499450156067e+02,-4.048371264464668684e+01
6.817854314946970362e+01,1.180616345186299441e+02,-4.052605443755702908e+01
8.523461010806951776e+01,1.182452255131187115e+02,-4.059079615182167800e+01
1.020194990258840448e+02,1.179085093401186555e+02,-4.018922608554105125e+01
1.189211701220785926e+02,1.182917664708854772e+02,-3.898503551811906931e+01
1.360151328594610334e+02,1.185261924343444662e+02,-4.019729225311633058e+01
1.506813063835462572e+02,1.161413288769104213e+02,-4.065411093219578476e+01
3.375100321218375399e+01,1.282899377361504207e+02,-4.047176443841482296e+01
5.132560995909681623e+01,1.269165958816615358e+02,-4.048170900692095131e+01
6.800164182517004008e+01,1.275640068530972115e+02,-4.051120093813969447e+01
8.503477604765690501e+01,1.277642222265992871e+02,-4.057325668900217863e+01
1.021628452884319671e+02,1.276735466605295528e+02,-4.056309847573407978e+01
1.192079046878530733e+02,1.277861944357517956e+02,-4.041972620905225000e+01
1.366122887860585422e+02,1.280929983392129827e+02,-4.060268768142650941e+01
3.647798469687048595e+01,1.357315873040752194e+02,-4.047137769543274288e+01
5.164334122645404079e+01,1.366340516666215876e+02,-4.047849463435989037e+01
6.809241480864386631e+01,1.373511342329939851e+02,-4.049791366817612470e+01
8.477243477598463528e+01,1.372409169221588741e+02,-4.054259947814212239e+01
1.021492460761348582e+02,1.371026517080096312e+02,-4.059208152467219577e+01
1.195664710360427989e+02,1.374733233161017836e+02,-4.061468461085284076e+01
1.341022879563020354e+02,1.367035373345337064e+02,-4.065138437246807257e+01
5.189417997645838909e+01,1.458526313680615658e+02,-4.047719049971067307e+01
6.769624591225874610e+01,1.472665781914276408e+02,-4.048723005117774676e+01
8.511955474468520322e+01,1.468838625793931101e+02,-4.051733850748019705e+01
1.025006178194231978e+02,1.464086411963844228e+02,-4.055868975830663459e+01
1.188323882019061273e+02,1.463802795422515146e+02,-4.060195101171618859e+01
6.889519414566677824e+01,1.556639116198510635e+02,-4.048425106733952106e+01
8.503946693458983930e+01,1.563493550582129501e+02,-4.050130544714897951e+01
1.018760209306573046e+02,1.545609882118572216e+02,-4.053371519169742498e+01
6.007527224548069000e+01,1.982448882964510517e+01,-4.047034044589999979e+01
7.611165256773429633e+01,1.821853350861373499e+01,-4.047388313093696155e+01
9.271096934961958880e+01,1.873128255663633013e+01,-4.047916245211278863e+01
1.097257822254483557e+02,1.973797159684423619e+01,-4.047530418878525182e+01
4.326205291642717299e+01,2.976478272388411028e+01,-4.046814351736670545e+01
5.967264461393970976e+01,2.869104852132592853e+01,-4.047106312427504804e+01
7.657850216339708993e+01,2.776961869508632930e+01,-4.047776300265816474e+01
9.373480294826336490e+01,2.803596805881349852e+01,-4.048547411707571797e+01
4.183296140223720982e+01,3.833185177415022338e+01,-4.046938524237272361e+01
5.921265078238639035e+01,3.799611145379197552e+01,-4.047422289281364982e+01
7.654022362758665565e+01,3.701679737004591431e+01,-4.048484067672031017e+01
9.366227289109745868e+01,3.744363732025342273e+01,-4.049899862773673931e+01
2.489401302675128491e+01,4.734451004140216668e+01,-4.046628986650561899e+01
4.179513362978640600e+01,4.743309790898305778e+01,-4.047088466679893770e+01
5.908216444336436268e+01,4.736473344386579498e+01,-4.047779869216709869e+01
7.616851791427912133e+01,4.640621640252082614e+01,-4.049597564609125300e+01
9.299146768250601269e+01,4.676734019878124826e+01,-4.052152168720745351e+01
1.438263104409350603e+02,4.671025261992922140e+01,-4.064074548804180864e+01
2.617376154863295667e+01,5.687024025496548774e+01,-4.046685076405556458e+01
4.230347393206542961e+01,5.690761605974784487e+01,-4.047030258449872520e+01
5.949099022991788388e+01,5.688045702346810373e+01,-4.048536537706657867e+01
7.615180452704402114e+01,5.604784824763319051e+01,-4.051563898592300461e+01
9.285195399144613759e+01,5.628628769292401302e+01,-4.056323262439494926e+01
1.277868173504722904e+02,5.694243175354863240e+01,-4.075713205171638265e+01
1.457744922447647582e+02,5.566760709590747069e+01,-4.064086404941629382e+01
2.582482593294609430e+01,6.619099874552695439e+01,-4.046757265252918501e+01
4.244030835892325371e+01,6.645762205343268647e+01,-4.047285185315855927e+01
5.955249159529252978e+01,6.636853290255250215e+01,-4.049374378641637406e+01
7.654381915763494248e+01,6.585635535929671391e+01,-4.054152000855275162e+01
9.322345694732391053e+01,6.594672784516625086e+01,-4.059518890558027238e+01
1.103170847991051176e+02,6.615181929476081280e+01,-4.053222804638198795e+01
1.278855966010585945e+02,6.611963007865738007e+01,-4.029427440070864463e+01
1.447524146406199463e+02,6.543943576261038686e+01,-4.061308962124191879e+01
2.520996468965758908e+01,7.579325395880853478e+01,-4.046632116652256173e+01
4.217353056112634846e+01,7.598927290715765537e+01,-4.047504252147285797e+01
5.928422346979461821e+01,7.577010447738439325e+01,-4.050090133900726386e+01
7.638363840974321306e+01,7.545364037865243745e+01,-4.056368824401086925e+01
9.366412241451590148e+01,7.564507972596888408e+01,-4.054339250520015270e+01
1.105277951189219436e+02,7.554661759635990848e+01,-3.917933189356440238e+01
