x [um],y [um],Vmem [mV]
6.791107525826474500e+01,1.553107487738621373e+01,-1.544298180355142414e+01
8.519881720569048866e+01,1.532010247881894038e+01,-1.549499283330731991e+01
1.011474924203010914e+02,1.514065592225229651e+01,-1.557239114174698358e+01
5.049564793869168255e+01,2.334548067266509364e+01,-1.539651211114348861e+01
6.725420804698957511e+01,2.350372616428260741e+01,-1.542136198443804496e+01
8.473738667859416296e+01,2.433220116593412996e+01,-1.550344015987748669e+01
1.019375975863218855e+02,2.377994836310225324e+01,-1.560592037442019908e+01
3.455838320267334041e+01,3.435238468998267081e+01,-1.539987406922058177e+01
5.041690793130047155e+01,3.215788505648745144e+01,-1.538008376836098279e+01
6.725097829604843014e+01,3.279670880797315391e+01,-1.543435376528143799e+01
8.464384264672430902e+01,3.330013680713781810e+01,-1.558423863443147894e+01
1.022131789191126927e+02,3.302842258907193695e+01,-1.576726972210537170e+01
3.486206885517816545e+01,4.351171800983063775e+01,-1.538329276763630027e+01
5.083580506371504981e+01,4.221916698569103943e+01,-1.538491517977456446e+01
6.751586196401689222e+01,4.216858014409736910e+01,-1.549313265517652205e+01
8.486099742155921888e+01,4.232148619911158249e+01,-1.577521474603069151e+01
1.020750878427783874e+02,4.252383161960999303e+01,-1.615728278861599065e+01
1.939374027229295550e+01,5.287924265812780078e+01,-1.542732426893917896e+01
3.377835037425398212e+01,5.236876309774139315e+01,-1.537222534806595498e+01
5.109033400074498843e+01,5.195754655921002296e+01,-1.540965231843251360e+01
6.822031257337556553e+01,5.150638810370616483e+01,-1.561237844883093828e+01
8.514442227734127755e+01,5.176250712636809226e+01,-1.614330006296912501e+01
1.020669120346181842e+02,5.197995263040690617e+01,-1.694681031677692218e+01
1.355821106502800717e+02,5.137406696039419529e+01,-1.783430641420833496e+01
1.498552874539721813e+02,5.308225105938041821e+01,-1.750788484722276195e+01
1.757892711811034303e+01,6.139067186481120331e+01,-1.541830656907328567e+01
3.401990358396936642e+01,6.197207066228756389e+01,-1.537221800695944829e+01
5.122674987131642155e+01,6.134947914415359094e+01,-1.544944252161207920e+01
6.819951271897862455e+01,6.099095532838908440e+01,-1.578206159202673753e+01
8.516870086514072113e+01,6.136915486450477886e+01,-1.673974432808764234e+01
1.021121715021077847e+02,6.148367054961513389e+01,-1.868348820563284107e+01
1.190355295692343418e+02,6.133001620740565585e+01,-2.081793137360659784e+01
1.356236963633518258e+02,6.139968205760892062e+01,-1.952855582705140236e+01
1.514656440155200698e+02,6.104333090396483641e+01,-1.824187021677821008e+01
1.758964821498628694e+01,7.115734709317908369e+01,-1.543842973838404298e+01
3.356173999714743417e+01,7.135745273231360386e+01,-1.537867577500341199e+01
5.086816065410565102e+01,7.076522082538828329e+01,-1.549403849180636072e+01
6.787859881872667245e+01,7.060952287061161314e+01,-1.598625310718360737e+01
8.479133174337506773e+01,7.086636325292231220e+01,-1.750672931691260459e+01
1.019396382899212341e+02,7.097788059009100436e+01,-2.090993928811847979e+01
1.190703348300412188e+02,7.085259028861150910e+01,-2.398746016488565047e+01
1.360163835025653611e+02,7.080482746097305835e+01,-2.209723059799216571e+01
1.520152583387782101e+02,7.088529897292771409e+01,-1.957357809229829471e+01
1.690037950080897033e+01,8.157707917853892354e+01,-1.543992515394014120e+01
3.358517243842045019e+01,8.093722497217051171e+01,-1.538662108792326144e+01
5.055337156073380811e+01,8.024515238538970152e+01,-1.553613842738339201e+01
6.766907957841598886e+01,8.007927628423186661e+01,-1.618885077619910717e+01
8.459618192502742318e+01,8.047975447840738639e+01,-1.836065803478444636e+01
1.017739394648013729e+02,8.026464551672837899e+01,-2.314319477196026043e+01
1.190982273338824768e+02,8.025103097053347767e+01,-2.591328932087809633e+01
1.361562553526120496e+02,8.046230629654718314e+01,-2.466577521618401647e+01
1.523383348745719559e+02,8.006999250133060286e+01,-2.079218517757180251e+01
1.643301366203761305e+01,9.012191590073716441e+01,-1.540395248107040871e+01
3.358085247458419076e+01,9.034021124882532661e+01,-1.539140096227940013e+01
5.071234727988201030e+01,8.977001003847149718e+01,-1.557189007666953628e+01
6.769734381961188774e+01,8.951243488331631681e+01,-1.634552212770888957e+01
8.480158937136008035e+01,8.999035025703949486e+01,-1.908154877408615846e+01
1.019342020355145024e+02,8.962232763731671525e+01,-2.485118958004012768e+01
1.190296923885969562e+02,8.965852665459867410e+01,-2.623758180890349223e+01
1.363928174066268184e+02,8.980555555432488291e+01,-2.577748372830557599e+01
1.533683928311091051e+02,8.969451851701289513e+01,-2.146341483210109047e+01
1.687753976372537323e+01,9.895738214056572701e+01,-1.539499100774709461e+01
3.365241131738071090e+01,9.958948768455539380e+01,-1.539514527642257846e+01
5.101754981956251100e+01,9.920714028189800615e+01,-1.558796387260739280e+01
6.792319013340404865e+01,9.899842619422135215e+01,-1.640468582143898502e+01
8.494996300630134556e+01,9.940198275095779934e+01,-1.928569296281776957e+01
1.021680684545935804e+02,9.905932805578557065e+01,-2.537979572908289683e+01
1.192441681769442425e+02,9.906293610701591490e+01,-2.622841521491963235e+01
1.365779234940496849e+02,9.916491839209207626e+01,-2.579880724187480112e+01
1.524753592906712072e+02,9.951710200591020339e+01,-2.173339216599625345e+01
1.764748515639688975e+01,1.086748493334290799e+02,-1.541290478912840989e+01
3.428006248245763743e+01,1.086974692243438909e+02,-1.540314651272920621e+01
5.106931050638166170e+01,1.086904056318561373e+02,-1.557419951640506639e+01
6.793593555029735853e+01,1.085623361735296726e+02,-1.631097442176702117e+01
8.497936015371391250e+01,1.087552984112604690e+02,-1.884111315382144625e+01
1.022851332127853397e+02,1.084510535520568055e+02,-2.445560304315560884e+01
1.194643029612548446e+02,1.086329049051958293e+02,-2.604012376216334701e+01
1.357316138985031557e+02,1.087462968894824229e+02,-2.499011898483891159e+01
1.518224447748258399e+02,1.093082534216005683e+02,-2.120395401479607145e+01
1.917411552869011970e+01,1.166348913572316519e+02,-1.544462435063256578e+01
3.360299371816905989e+01,1.182430013156615161e+02,-1.540990244431218059e+01
5.107855821090967652e+01,1.181277523230867388e+02,-1.554351886239110314e+01
6.789747757753686130e+01,1.181061896948828718e+02,-1.611882048341710316e+01
8.498558431097453081e+01,1.180635811422629189e+02,-1.798538163030962167e+01
1.022699351740399294e+02,1.178528171883680074e+02,-2.204379326065071965e+01
1.193558692439535918e+02,1.184275706944097379e+02,-2.447376797544941240e+01
1.361542166025200800e+02,1.187871149049681776e+02,-2.252896091102332576e+01
1.500538670721955725e+02,1.174323696012656910e+02,-2.061846709665654842e+01
3.428646721434473221e+01,1.271895889822785222e+02,-1.542857122081230870e+01
5.090413569443200714e+01,1.274630735295702522e+02,-1.550950406630192191e+01
6.796051416609195428e+01,1.275606271667004421e+02,-1.591214232222703728e+01
8.505240915034313787e+01,1.274206451762362775e+02,-1.710210221837225930e+01
1.022032564406853936e+02,1.273881671216328613e+02,-1.942716852583078335e+01
1.193573499528904307e+02,1.280373932363175129e+02,-2.096882861361604000e+01
1.377044150379574035e+02,1.277847568698377501e+02,-2.036323452824631275e+01
3.475795742089564300e+01,1.362193396114066672e+02,-1.545225156336134020e+01
5.091275556244296041e+01,1.367201985956395731e+02,-1.549211957260449779e+01
6.775437456490513455e+01,1.369129855863281477e+02,-1.573998040652730879e+01
8.515186518159285356e+01,1.367919234496268643e+02,-1.643542482527147186e+01
1.023926643196327291e+02,1.368192016376379172e+02,-1.766019191093802121e+01
1.197647618279340094e+02,1.380187684526096916e+02,-1.855088347047284003e+01
1.354970131013784567e+02,1.352865207114505495e+02,-1.909631164475405640e+01
5.049870477509946198e+01,1.455212999354723422e+02,-1.549897020854991148e+01
6.768007480037520907e+01,1.460553395669180645e+02,-1.564831838170955081e+01
8.545671134463189844e+01,1.460568824666604826e+02,-1.604707694579652610e+01
1.026992687370237576e+02,1.465278215407467144e+02,-1.670043307129762411e+01
1.179558198917524265e+02,1.467461872537826650e+02,-1.738971642313223143e+01
6.834863432678243100e+01,1.542204659535548785e+02,-1.564285803908500938e+01
8.518141328671931944e+01,1.552948929860899909e+02,-1.587246970754658015e+01
1.022650598634375427e+02,1.552606189386537778e+02,-1.629665181950879571e+01
7.714010320159093226e+01,1.327500795602657391e+01,-1.549446926934745328e+01
9.357307180483162767e+01,1.319324931532559475e+01,-1.555222062377514014e+01
5.868107626085618023e+01,1.886445514770380427e+01,-1.541247946627473731e+01
7.623453998991213609e+01,2.017532096705501488e+01,-1.545872195081716427e+01
9.327744149325106093e+01,2.046194573968341501e+01,-1.554095812355874529e+01
1.096850787658300419e+02,1.920236956455998012e+01,-1.561467892984851602e+01
4.201666403553697648e+01,2.902389929598303908e+01,-1.539026888182141128e+01
5.881366084286172224e+01,2.750647665467128533e+01,-1.539582119622477840e+01
7.590194215431685620e+01,2.886221832756325156e+01,-1.547039171129898349e+01
9.345764622535067190e+01,2.909181903455175799e+01,-1.561393717914757495e+01
2.820593974208904697e+01,3.980656459176447015e+01,-1.541953501533020265e+01
4.265327914329034087e+01,3.792314918242681188e+01,-1.537626039566558767e+01
5.883965975068714016e+01,3.708826643372692189e+01,-1.540431726147704872e+01
7.593289139637504093e+01,3.784745758548645966e+01,-1.554355948945737609e+01
9.353281643549236435e+01,3.792756115921208959e+01,-1.581392196786915427e+01
2.517021434951316650e+01,4.713598521584243883e+01,-1.539850203027274667e+01
4.277894314100510087e+01,4.779476372386903194e+01,-1.537422023458152864e+01
5.930748921229218240e+01,4.672621676897460929e+01,-1.544656123366355160e+01
7.652429564254418892e+01,4.702341347093685187e+01,-1.570589605395273836e+01
9.350581923362003067e+01,4.712343570036313878e+01,-1.622677751808244295e+01
1.438530935626475582e+02,4.708035945631559827e+01,-1.719581078615552272e+01
2.579172001568549177e+01,5.708447345929190675e+01,-1.538707801084187921e+01
4.251410085338091704e+01,5.718279617571810292e+01,-1.538196896354557275e+01
5.977388734151805494e+01,5.614518685666474340e+01,-1.552164845760153078e+01
7.679366538722149471e+01,5.652155053238080029e+01,-1.598048122834122964e+01
9.362914762831063342e+01,5.659977523907249974e+01,-1.701249309049198644e+01
1.274314709402997323e+02,5.644226126813847344e+01,-1.916210472121598940e+01
1.431279088262217272e+02,5.636399446638222344e+01,-1.804878535930359362e+01
2.512461466466209359e+01,6.627485647941909974e+01,-1.538697465595788749e+01
4.243458435304543030e+01,6.658851906797492859e+01,-1.539970244501082597e+01
5.965202600094976759e+01,6.572160354442951302e+01,-1.561719038737897236e+01
7.645961215868817362e+01,6.604355813705132050e+01,-1.634597118060073129e+01
