x [um],y [um],Vmem [mV]
6.855181299032081199e+01,1.584375478614302502e+01,-3.506852238776868091e+01
8.395776645497190316e+01,1.441844854084534333e+01,-3.507700906468322444e+01
1.002645607911569101e+02,1.493847004852075422e+01,-3.509212054653273327e+01
5.114571556048292678e+01,2.413590271277585941e+01,-3.506196666448752097e+01
6.794151071516857598e+01,2.475118651819914106e+01,-3.506669622005904330e+01
8.502894623000405261e+01,2.420799160731460020e+01,-3.508379347805364290e+01
1.022460080494698786e+02,2.373083373193128054e+01,-3.510069386343594289e+01
3.543595189192657813e+01,3.311543817783321231e+01,-3.506129616776827618e+01
5.079991302155212196e+01,3.298503603190768274e+01,-3.505939312906532024e+01
6.748655891813197627e+01,3.401713162082718611e+01,-3.507281430189475202e+01
8.510753836285098828e+01,3.374488145216687940e+01,-3.510543442648647527e+01
1.030021916137890372e+02,3.308187587030187160e+01,-3.513457238301915453e+01
3.508990668254519107e+01,4.263357472227264111e+01,-3.505965267759753345e+01
5.079138843535343284e+01,4.272007631583444720e+01,-3.506202996858725385e+01
6.799026737091780603e+01,4.325090168852299399e+01,-3.508826999367514787e+01
8.506352428409178401e+01,4.319435570823115711e+01,-3.515213872550746288e+01
1.024582465659964612e+02,4.249991269812568362e+01,-3.520527218265009139e+01
1.994429972651601091e+01,5.234376186665475217e+01,-3.506251565491295707e+01
3.378667783573165195e+01,5.187158565796132592e+01,-3.505766569818792533e+01
5.112855665728191212e+01,5.202062070286713436e+01,-3.506708927051813873e+01
6.822906354563039599e+01,5.258413195960704911e+01,-3.511501621418793206e+01
8.503910317812686515e+01,5.281637836587128731e+01,-3.523397842537040958e+01
1.021252217574322145e+02,5.198335426928104397e+01,-3.535014387821244242e+01
1.369157637536376058e+02,5.182594149166960307e+01,-3.564879684416425221e+01
1.814074942725484263e+01,6.100436669177818771e+01,-3.505932400580555708e+01
3.422821582602701085e+01,6.154025532343357696e+01,-3.505716131631700705e+01
5.116088724984735592e+01,6.135079891387520235e+01,-3.507647740140539128e+01
6.791152730387868530e+01,6.197287182067704947e+01,-3.515076168622233865e+01
8.507661164493916317e+01,6.238189651175036232e+01,-3.535795330617715848e+01
1.020220519080712336e+02,6.156231918483744892e+01,-3.570314011219034711e+01
1.194422096168955534e+02,6.137508172362138481e+01,-3.622210963777865089e+01
1.369801067869188955e+02,6.124656601929029165e+01,-3.585839005664808354e+01
1.517508751097510356e+02,6.284791329904934543e+01,-3.572841473947847390e+01
1.764216124128768826e+01,7.085977056946536834e+01,-3.505922357373921727e+01
3.391566767221707579e+01,7.095310897176253206e+01,-3.505798817808243228e+01
5.092328686200595200e+01,7.101388342886021121e+01,-3.508676202100516406e+01
6.773315182255898037e+01,7.133530618342187779e+01,-3.519380974173604670e+01
8.527855367904685124e+01,7.171257433631531342e+01,-3.551554342554412358e+01
1.023177886962418910e+02,7.111380529608942425e+01,-3.599110039880979173e+01
1.194840441598035454e+02,7.051640393264794682e+01,-3.582394180272083162e+01
1.365616714699939678e+02,7.085561567948715833e+01,-3.606130835343817864e+01
1.538023015892678131e+02,7.081170081257818083e+01,-3.587442894651708514e+01
1.633415887279615930e+01,8.086504021033854883e+01,-3.506702756740868665e+01
3.322828488983741835e+01,8.028250725967644996e+01,-3.506097430383081814e+01
5.056181242084542049e+01,8.057317343108088892e+01,-3.509596043277431221e+01
6.786316685073762756e+01,8.054821420485781402e+01,-3.523945299009459831e+01
8.533226777856539513e+01,8.096877219127695469e+01,-3.566870893510086660e+01
1.024808675390513883e+02,8.067777178410244687e+01,-3.601026662304264647e+01
1.192499182938478270e+02,7.991195838467952228e+01,-3.216697600393298018e+01
1.363122510528914688e+02,7.999279281270891317e+01,-3.574272050202667117e+01
1.532498014311301517e+02,7.988659235975804052e+01,-3.605839053162794272e+01
1.606872042718899962e+01,9.107327474965268266e+01,-3.506788446199251297e+01
3.314153584204205316e+01,8.970276183662112146e+01,-3.506292311522825145e+01
5.037812939931097134e+01,8.983790594254752193e+01,-3.510215708442473925e+01
6.781415965622019826e+01,8.981157051152925419e+01,-3.527020047810052006e+01
8.494714544681544055e+01,9.021188956221413946e+01,-3.575978752997251320e+01
1.023243645805249571e+02,9.013881127762020640e+01,-3.554175293541826619e+01
1.191401592070472901e+02,8.947604491254202230e+01,-3.043817317771112130e+01
1.359370399689500744e+02,8.926565191686479750e+01,-3.510709203682498014e+01
1.515828224032812557e+02,8.967149682835601254e+01,-3.622019488355709882e+01
1.692385001802244560e+01,1.000104099679282257e+02,-3.506272038977031968e+01
3.344430289823852576e+01,9.918783684623025465e+01,-3.506335202311438337e+01
5.060722913005277945e+01,9.908869886171278552e+01,-3.510528862489925928e+01
6.769274594751885843e+01,9.919145095758747743e+01,-3.527598378416322333e+01
8.472253519119266230e+01,9.951909651800535528e+01,-3.577406226937021927e+01
1.020241976262149137e+02,9.940749971123133832e+01,-3.524914787712863529e+01
1.190688058874260236e+02,9.902749321864280319e+01,-3.000072875212008228e+01
1.357776477941409325e+02,9.882657563756043828e+01,-3.504297258022572947e+01
1.516311762379595507e+02,9.929856427436085653e+01,-3.625362770034482907e+01
1.722572544458412480e+01,1.092267862497159143e+02,-3.506410388392757227e+01
3.400604403601324321e+01,1.084120454130948019e+02,-3.506497834654348367e+01
5.100538062164292086e+01,1.084504350001915043e+02,-3.510345756758098190e+01
6.785470171602764822e+01,1.086353904181951293e+02,-3.525772892845009210e+01
8.492132537138495252e+01,1.088230825880154953e+02,-3.571544562611336460e+01
1.021104748471797308e+02,1.087274273830521452e+02,-3.568139712632325455e+01
1.189461785670667382e+02,1.085064063220998918e+02,-3.150371163394138208e+01
1.362505990776151350e+02,1.081966789190096279e+02,-3.573112238535501461e+01
1.512158138810816865e+02,1.080433099280356117e+02,-3.622111037185336357e+01
1.948639444870151038e+01,1.171047367112350770e+02,-3.506798091754899360e+01
3.418744560645735220e+01,1.178863624850940823e+02,-3.506672041597538225e+01
5.118322700933749303e+01,1.177822287524323457e+02,-3.509607137009222555e+01
6.806121710901247468e+01,1.181520226591315890e+02,-3.521982322339930960e+01
8.496567870434307679e+01,1.181008538045312832e+02,-3.557577765707554818e+01
1.021716158348938421e+02,1.181162367572406424e+02,-3.600794829311388412e+01
1.192262637018186808e+02,1.178603308194718693e+02,-3.564576770112194026e+01
1.364208201627468782e+02,1.171943288549559981e+02,-3.613035985009973672e+01
3.466781700858804527e+01,1.270836751098262596e+02,-3.506983861913368372e+01
5.124336859345186213e+01,1.273082266309830430e+02,-3.508869946214993973e+01
6.804714431571035504e+01,1.275867506085473337e+02,-3.517413149423103391e+01
8.510693657227358244e+01,1.275067249512917300e+02,-3.541419727420129249e+01
1.021924463411555735e+02,1.273008489030437858e+02,-3.580368992478778978e+01
1.195601251764602040e+02,1.272462576006336121e+02,-3.599846270370680656e+01
1.353485352600304452e+02,1.266385793579037085e+02,-3.600144665784929998e+01
3.511979166054477730e+01,1.357215338537874061e+02,-3.507218522427744745e+01
5.143561646223734840e+01,1.368839079642237095e+02,-3.508322356409676956e+01
6.778995648926427009e+01,1.370926704475922406e+02,-3.513541206476105572e+01
8.509953949090544256e+01,1.367835647508010766e+02,-3.528105794358935299e+01
1.023944077107175019e+02,1.366517556957303441e+02,-3.552300017883128902e+01
1.192180107907971944e+02,1.365592728570874215e+02,-3.570866659208267890e+01
1.352869723448479533e+02,1.364442692790688056e+02,-3.576744782743183748e+01
5.133594819925639996e+01,1.460323914554213047e+02,-3.508324753660900797e+01
6.788984792741000263e+01,1.464911645286478290e+02,-3.511389239254721417e+01
8.506365296510963958e+01,1.461429535450445201e+02,-3.519756422731524026e+01
1.025684084267970206e+02,1.458908754783526263e+02,-3.534277130005447276e+01
1.193917296349504795e+02,1.454483637280571600e+02,-3.550929138522050721e+01
6.846686896247449283e+01,1.548544458688849090e+02,-3.510879501468298969e+01
8.572807489303066575e+01,1.555785874071237629e+02,-3.516226840776464257e+01
1.019841721397311858e+02,1.541040483535268777e+02,-3.525775988837679620e+01
7.615863253005527156e+01,1.304475173852732794e+01,-3.507404799967889630e+01
9.149315437754623304e+01,1.292843628486968477e+01,-3.508420584650012586e+01
6.026084633543914038e+01,2.035683460453162397e+01,-3.506352386224072148e+01
7.642007798862174184e+01,2.074663063161663246e+01,-3.507203271549445844e+01
9.329426527423881055e+01,2.047304331089891605e+01,-3.508871180065698780e+01
1.090408292367592651e+02,1.877689109772295595e+01,-3.509700745882606299e+01
4.294621111773988531e+01,2.878500765183322585e+01,-3.505998572273395553e+01
5.899311149618773698e+01,2.888992606442145217e+01,-3.506240330403189631e+01
7.634668744849122390e+01,2.967890330467327686e+01,-3.507902818294846981e+01
9.395637184877715242e+01,2.936025668615702955e+01,-3.510865702969768876e+01
2.890264712240800904e+01,3.899050274825798112e+01,-3.506416106945353306e+01
4.278261334731098486e+01,3.791619069869275904e+01,-3.505835438524644587e+01
5.905643775607791923e+01,3.830898859744076645e+01,-3.506658523001532046e+01
7.639177870170878748e+01,3.871522423183273531e+01,-3.509834211399697068e+01
9.388115900914505119e+01,3.832607295502888434e+01,-3.515324875469108434e+01
2.574830955016301104e+01,4.676230765815853374e+01,-3.506054025779475580e+01
4.261304830217066097e+01,4.768858430275334115e+01,-3.505839041575043780e+01
5.957745016604498289e+01,4.748284856109324892e+01,-3.507765313358758164e+01
7.664831158903928099e+01,4.812305088872795977e+01,-3.513680721583556732e+01
9.360235711967156647e+01,4.762293327320019642e+01,-3.524139570973665059e+01
1.429977989446670676e+02,4.762668533972621532e+01,-3.550679862616895122e+01
2.605331556526065384e+01,5.702322036119341675e+01,-3.505742204977412513e+01
4.252361107611910995e+01,5.681665669402884333e+01,-3.505976149786477691e+01
