x [um],y [um],Vmem [mV]
6.855181299032081199e+01,1.584375478614302502e+01,-3.803547721076132149e+01
8.395776645497190316e+01,1.441844854084534333e+01,-3.802111350660440792e+01
1.002645607911569101e+02,1.493847004852075422e+01,-3.798551208633106313e+01
5.114571556048292678e+01,2.413590271277585941e+01,-3.805288284863237180e+01
6.794151071516857598e+01,2.475118651819914106e+01,-3.804660791739632231e+01
8.502894623000405261e+01,2.420799160731460020e+01,-3.801555819445722761e+01
1.022460080494698786e+02,2.373083373193128054e+01,-3.796493769616631653e+01
3.543595189192657813e+01,3.311543817783321231e+01,-3.805043374941183032e+01
5.079991302155212196e+01,3.298503603190768274e+01,-3.806157169684679076e+01
6.748655891813197627e+01,3.401713162082718611e+01,-3.804009692153861977e+01
8.510753836285098828e+01,3.374488145216687940e+01,-3.797681709369197733e+01
1.030021916137890372e+02,3.308187587030187160e+01,-3.788682521133789294e+01
3.508990668254519107e+01,4.263357472227264111e+01,-3.806012812840495485e+01
5.079138843535343284e+01,4.272007631583444720e+01,-3.806062932783549968e+01
6.799026737091780603e+01,4.325090168852299399e+01,-3.801220392876120258e+01
8.506352428409178401e+01,4.319435570823115711e+01,-3.788720865933944282e+01
1.024582465659964612e+02,4.249991269812568362e+01,-3.770636189707090580e+01
1.994429972651601091e+01,5.234376186665475217e+01,-3.804130884640885313e+01
3.378667783573165195e+01,5.187158565796132592e+01,-3.806759340726251395e+01
5.112855665728191212e+01,5.202062070286713436e+01,-3.805149901153473735e+01
6.822906354563039599e+01,5.258413195960704911e+01,-3.796157713301082026e+01
8.503910317812686515e+01,5.281637836587128731e+01,-3.771558791457984938e+01
1.021252217574322145e+02,5.198335426928104397e+01,-3.731316534522075301e+01
1.369157637536376058e+02,5.182594149166960307e+01,-3.684341444589477277e+01
1.814074942725484263e+01,6.100436669177818771e+01,-3.805430379692185738e+01
3.422821582602701085e+01,6.154025532343357696e+01,-3.806950777613447912e+01
5.116088724984735592e+01,6.135079891387520235e+01,-3.803628368852932340e+01
6.791152730387868530e+01,6.197287182067704947e+01,-3.789131688759241712e+01
8.507661164493916317e+01,6.238189651175036232e+01,-3.742568751878675215e+01
