x [um],y [um],Vmem [mV]
6.880372853855274684e+01,1.664473860734571886e+01,-3.662905923320261081e+01
8.415283852134382414e+01,1.627108138244489766e+01,-3.663950368782037970e+01
1.013205184425561924e+02,1.676717909044466737e+01,-3.665395423287796461e+01
5.187937708922326863e+01,2.415412376199566324e+01,-3.662088833544141409e+01
6.823199757121024334e+01,2.450909613994390313e+01,-3.662554355391022654e+01
8.432655697173194653e+01,2.390515472559142296e+01,-3.664130814030616534e+01
1.010022133804719999e+02,2.393978351287551476e+01,-3.665348408866246643e+01
3.565822239928396442e+01,3.387072412443489355e+01,-3.662274095073766489e+01
5.073738402149064797e+01,3.277816546432069345e+01,-3.661890297765906155e+01
6.774621417373319332e+01,3.358074899021515591e+01,-3.662937107710176576e+01
8.469643287064502601e+01,3.361665147096370276e+01,-3.665759109833589946e+01
1.015246842737297186e+02,3.302497139852253127e+01,-3.667601797563835220e+01
3.341307057283174231e+01,4.193920372016434328e+01,-3.661695668215818245e+01
5.043588796286428533e+01,4.243994194029072986e+01,-3.661907674073509611e+01
6.719232575617573389e+01,4.269156561707865905e+01,-3.663999582273573452e+01
8.475155725121737760e+01,4.301299247556536898e+01,-3.669178696101104009e+01
1.016814104428489429e+02,4.256811998284569398e+01,-3.673277526150475580e+01
1.987673775337107429e+01,5.305109798642548213e+01,-3.661878025075701260e+01
3.396675132064680724e+01,5.166443071764027906e+01,-3.661511158372989883e+01
5.051290640060458514e+01,5.222517464006890009e+01,-3.662347370981215988e+01
6.709007606773973009e+01,5.193080097611100854e+01,-3.665923721638296229e+01
8.443750022865022231e+01,5.218200429500558357e+01,-3.675139748805813866e+01
1.019229757673016081e+02,5.207828646235497416e+01,-3.684863152104016137e+01
1.365862251327667138e+02,5.190609075222396740e+01,-3.710563637673967463e+01
1.787398006487101298e+01,6.103151631027765944e+01,-3.661719270636010037e+01
3.415711394492861785e+01,6.166157098305460948e+01,-3.661628380654087778e+01
5.084132399919428735e+01,6.182840562224746606e+01,-3.663142927346947886e+01
6.755392399437435813e+01,6.142208093111592859e+01,-3.668967773073388372e+01
8.466237976186981484e+01,6.135953006523243403e+01,-3.684491699047337931e+01
1.020411047651949588e+02,6.140684919596982638e+01,-3.711997257884348755e+01
1.368459718413018891e+02,6.112856691201491799e+01,-3.723077086600277852e+01
1.515740085544815656e+02,6.281532235821239141e+01,-3.715443616726753362e+01
1.648771185282085838e+01,6.987838629782557121e+01,-3.661834676639611530e+01
3.363365417012823855e+01,7.114084704542730719e+01,-3.661696840200807657e+01
5.112195075476957129e+01,7.122663787432240667e+01,-3.664076334141866198e+01
6.820955026980946911e+01,7.080517375771079003e+01,-3.672842181631354919e+01
8.504537637576700604e+01,7.077573502617515544e+01,-3.696480007207291862e+01
1.020677326085547918e+02,7.079457784441056845e+01,-3.726861653655993933e+01
1.193789302691164096e+02,7.041262752786842327e+01,-3.708605325706879086e+01
1.363423864851664860e+02,7.080671925986642634e+01,-3.726549344803462560e+01
1.537402983964776979e+02,7.045887683219264375e+01,-3.725700730634405033e+01
1.593050437572048494e+01,8.211798488789688122e+01,-3.662104968397758142e+01
3.406317438437397271e+01,8.018213100919668079e+01,-3.661791479733942367e+01
5.134186644357791351e+01,8.045677176496462835e+01,-3.664928242816289128e+01
6.853257244347744859e+01,8.018867284990328415e+01,-3.676724432342354731e+01
8.522858672940068914e+01,8.042616583032044275e+01,-3.707819245446912504e+01
1.021216949670897804e+02,8.029569676498638842e+01,-3.712627003311620655e+01
1.191972424411335396e+02,8.003715487753896696e+01,-3.259261145542556193e+01
1.366333951016247283e+02,8.007447076907071448e+01,-3.668043022346612503e+01
1.541301600781466732e+02,7.920910243476370738e+01,-3.736852499918788340e+01
1.792020856971598519e+01,8.935095070889413194e+01,-3.661205869470209251e+01
3.440647220019423713e+01,8.965538205523276361e+01,-3.661940360388971527e+01
5.124581759718305563e+01,8.976786721341699149e+01,-3.665525620175505139e+01
6.828244039620466310e+01,8.960520316309165878e+01,-3.679101433397898546e+01
8.528760321659333954e+01,9.000127636220588556e+01,-3.714854964638205814e+01
1.024028690182435639e+02,8.989193173283365468e+01,-3.646635524679993523e+01
1.193573958779334845e+02,8.967495729641863988e+01,-3.045886742496974975e+01
1.366272988605572607e+02,8.941966137329985997e+01,-3.589789802650015815e+01
1.531036912948702025e+02,8.897247288682287092e+01,-3.745897913405098478e+01
1.691929760035667130e+01,9.875489972205592437e+01,-3.662043999111927661e+01
3.415004464968104969e+01,9.912542439385687487e+01,-3.662064335408023652e+01
5.105770390338221176e+01,9.923648984626416336e+01,-3.665622133676278338e+01
6.789070546535221240e+01,9.908572295584107792e+01,-3.679322749523229419e+01
8.513024479430899305e+01,9.932251614882476076e+01,-3.716012022901684020e+01
1.024126366992488499e+02,9.945374119409217428e+01,-3.601284607195601239e+01
1.195374562363582385e+02,9.929390422365555935e+01,-2.998421153014089668e+01
1.366988617085795283e+02,9.893587899957773857e+01,-3.584189074634865335e+01
1.528633133456463611e+02,9.888559462761060104e+01,-3.748883614055291247e+01
1.777113144932018329e+01,1.083248191487453624e+02,-3.661886074945117997e+01
3.384693678622637236e+01,1.083848003395693951e+02,-3.662091122987460068e+01
5.086493330961322101e+01,1.087433307242624636e+02,-3.665183171082346547e+01
6.781917076809406808e+01,1.086261097214062232e+02,-3.677608291211076619e+01
8.508967206061355171e+01,1.086439837437160634e+02,-3.711739218123364026e+01
1.021982813935376413e+02,1.089682460378605811e+02,-3.667744256434752259e+01
1.194539780817232923e+02,1.086628579952731428e+02,-3.175759609242329162e+01
1.369887461019440877e+02,1.084325031890865887e+02,-3.665302070719564398e+01
1.516640801670052099e+02,1.077892230755061149e+02,-3.749087997526060434e+01
1.883722578743444132e+01,1.166335032527885289e+02,-3.662297427419552065e+01
3.372158232567561953e+01,1.178580692719451548e+02,-3.662203687917076422e+01
5.080903357037959012e+01,1.182166861149801207e+02,-3.664644839313652369e+01
6.805269129947689066e+01,1.181192685370792503e+02,-3.674714808374598363e+01
8.523666102794901178e+01,1.180492863063256266e+02,-3.702399358516462513e+01
1.025015802029931677e+02,1.184058574058234825e+02,-3.721214921591519698e+01
1.194719428315767118e+02,1.180191116818651267e+02,-3.657879784704734050e+01
1.363818147906265779e+02,1.174957925217531880e+02,-3.727844781046943012e+01
3.386072569143557587e+01,1.268545055349617741e+02,-3.662379794094213281e+01
5.108432948044126221e+01,1.276046249156130443e+02,-3.664037690994946672e+01
6.840762591332141085e+01,1.275292059269945071e+02,-3.671314867671096493e+01
8.558228571492630010e+01,1.275112787825362517e+02,-3.690663201557384099e+01
1.026984536851370962e+02,1.278268468374696027e+02,-3.717115046000591150e+01
1.193803807644163726e+02,1.275764497566462694e+02,-3.726932097602256277e+01
1.356019813948994113e+02,1.267136193454458351e+02,-3.732996913854572796e+01
3.484934784663099094e+01,1.358146126511666978e+02,-3.662572184481330595e+01
5.108311300574946046e+01,1.369580426775674482e+02,-3.663466974854698321e+01
6.843833303820647984e+01,1.369311446511500776e+02,-3.668101291567555933e+01
8.547693496521661416e+01,1.370574892471404098e+02,-3.679788233245252371e+01
1.025509198366461447e+02,1.374097008789144638e+02,-3.697526960955556774e+01
1.192004270056416004e+02,1.370851048108901296e+02,-3.711990071868088847e+01
1.351203415069236371e+02,1.355469212948470101e+02,-3.720483901109601987e+01
5.149299253335460236e+01,1.453548191085053531e+02,-3.663391206210967965e+01
6.824233999849866450e+01,1.465759595814706984e+02,-3.666054476978176524e+01
8.493828754345788923e+01,1.466725271167701976e+02,-3.672694006778695552e+01
1.020058309935200498e+02,1.469787204651937031e+02,-3.683443141758234418e+01
1.191324118651997992e+02,1.456128593971555176e+02,-3.698280138792529925e+01
6.738313671493237678e+01,1.552231573940977682e+02,-3.665445753254016381e+01
8.443860232974773794e+01,1.564724882857807131e+02,-3.669403077059340745e+01
1.003988164414301139e+02,1.555310434450431956e+02,-3.676313512941934647e+01
6.100054731042718714e+01,1.928784625679033482e+01,-3.662407517414882108e+01
7.630562930998043214e+01,1.905317924887187075e+01,-3.663156132434947665e+01
9.249760138513516949e+01,1.896431634262923538e+01,-3.664577759245309352e+01
1.092845962644214097e+02,1.989292840656479200e+01,-3.665149210668634794e+01
