x [um],y [um],Vmem [mV]
6.880372853855274684e+01,1.664473860734571886e+01,-2.669435597132863691e+01
8.415283852134382414e+01,1.627108138244489766e+01,-2.672498341859423121e+01
1.013205184425561924e+02,1.676717909044466737e+01,-2.677160394180159386e+01
5.187937708922326863e+01,2.415412376199566324e+01,-2.666402980339950091e+01
6.823199757121024334e+01,2.450909613994390313e+01,-2.667711715398156613e+01
8.432655697173194653e+01,2.390515472559142296e+01,-2.671668871146397350e+01
1.010022133804719999e+02,2.393978351287551476e+01,-2.676816193409170452e+01
3.565822239928396442e+01,3.387072412443489355e+01,-2.667697086911315196e+01
5.073738402149064797e+01,3.277816546432069345e+01,-2.665430115107621489e+01
6.774621417373319332e+01,3.358074899021515591e+01,-2.668091023195869482e+01
8.469643287064502601e+01,3.361665147096370276e+01,-2.675552873553373701e+01
1.015246842737297186e+02,3.302497139852253127e+01,-2.683712117569215749e+01
3.341307057283174231e+01,4.193920372016434328e+01,-2.665075138440990443e+01
5.043588796286428533e+01,4.243994194029072986e+01,-2.665271416517990843e+01
6.719232575617573389e+01,4.269156561707865905e+01,-2.670633147860488776e+01
8.475155725121737760e+01,4.301299247556536898e+01,-2.685204721977236630e+01
1.016814104428489429e+02,4.256811998284569398e+01,-2.702251577288745565e+01
1.987673775337107429e+01,5.305109798642548213e+01,-2.666512048217914455e+01
3.396675132064680724e+01,5.166443071764027906e+01,-2.664270728058231086e+01
5.051290640060458514e+01,5.222517464006890009e+01,-2.666193254780652566e+01
6.709007606773973009e+01,5.193080097611100854e+01,-2.675724273454247992e+01
8.443750022865022231e+01,5.218200429500558357e+01,-2.702072517697190079e+01
1.019229757673016081e+02,5.207828646235497416e+01,-2.740692018026995669e+01
1.365862251327667138e+02,5.190609075222396740e+01,-2.795812438724544080e+01
1.787398006487101298e+01,6.103151631027765944e+01,-2.665617276732611529e+01
3.415711394492861785e+01,6.166157098305460948e+01,-2.664173680013777101e+01
5.084132399919428735e+01,6.182840562224746606e+01,-2.668104928527641562e+01
6.755392399437435813e+01,6.142208093111592859e+01,-2.684070619057805729e+01
8.466237976186981484e+01,6.135953006523243403e+01,-2.729705463541560562e+01
1.020411047651949588e+02,6.140684919596982638e+01,-2.824832167889751844e+01
1.368459718413018891e+02,6.112856691201491799e+01,-2.864775892214931474e+01
1.515740085544815656e+02,6.281532235821239141e+01,-2.825725371180369550e+01
1.648771185282085838e+01,6.987838629782557121e+01,-2.665947681494133903e+01
3.363365417012823855e+01,7.114084704542730719e+01,-2.664297590262383153e+01
5.112195075476957129e+01,7.122663787432240667e+01,-2.670538115144978875e+01
6.820955026980946911e+01,7.080517375771079003e+01,-2.695193357986327953e+01
8.504537637576700604e+01,7.077573502617515544e+01,-2.768865129163239658e+01
1.020677326085547918e+02,7.079457784441056845e+01,-2.925611613207819772e+01
1.193789302691164096e+02,7.041262752786842327e+01,-3.072224316959074031e+01
1.363423864851664860e+02,7.080671925986642634e+01,-2.981396629507552731e+01
1.537402983964776979e+02,7.045887683219264375e+01,-2.864658073988357501e+01
1.593050437572048494e+01,8.211798488789688122e+01,-2.666887927189850416e+01
3.406317438437397271e+01,8.018213100919668079e+01,-2.664665489906219520e+01
5.134186644357791351e+01,8.045677176496462835e+01,-2.672941024130801324e+01
6.853257244347744859e+01,8.018867284990328415e+01,-2.706539009035673260e+01
8.522858672940068914e+01,8.042616583032044275e+01,-2.812075922449185228e+01
1.021216949670897804e+02,8.029569676498638842e+01,-3.019966507089952756e+01
1.191972424411335396e+02,8.003715487753896696e+01,-2.950707340921561794e+01
1.366333951016247283e+02,8.007447076907071448e+01,-3.063937122478751007e+01
1.541301600781466732e+02,7.920910243476370738e+01,-2.912914267717106043e+01
1.792020856971598519e+01,8.935095070889413194e+01,-2.664353747676812034e+01
3.440647220019423713e+01,8.965538205523276361e+01,-2.665068497690122484e+01
5.124581759718305563e+01,8.976786721341699149e+01,-2.674490187987094103e+01
6.828244039620466310e+01,8.960520316309165878e+01,-2.713565775642096156e+01
8.528760321659333954e+01,9.000127636220588556e+01,-2.844864006577747517e+01
1.024028690182435639e+02,8.989193173283365468e+01,-3.070638300529397569e+01
1.193573958779334845e+02,8.967495729641863988e+01,-2.888581621184891191e+01
1.366272988605572607e+02,8.941966137329985997e+01,-3.086743743276358387e+01
1.531036912948702025e+02,8.897247288682287092e+01,-2.963038447573869050e+01
1.691929760035667130e+01,9.875489972205592437e+01,-2.666414671861530294e+01
3.415004464968104969e+01,9.912542439385687487e+01,-2.665351684073892713e+01
5.105770390338221176e+01,9.923648984626416336e+01,-2.674803480235508601e+01
6.789070546535221240e+01,9.908572295584107792e+01,-2.714248053911478920e+01
8.513024479430899305e+01,9.932251614882476076e+01,-2.851281151511723522e+01
1.024126366992488499e+02,9.945374119409217428e+01,-3.072187404257180177e+01
1.195374562363582385e+02,9.929390422365555935e+01,-2.870935176132377720e+01
1.366988617085795283e+02,9.893587899957773857e+01,-3.088602068516843957e+01
1.528633133456463611e+02,9.888559462761060104e+01,-2.976687481684303549e+01
1.777113144932018329e+01,1.083248191487453624e+02,-2.666207780347259160e+01
3.384693678622637236e+01,1.083848003395693951e+02,-2.665579834342267418e+01
5.086493330961322101e+01,1.087433307242624636e+02,-2.673856410292106744e+01
6.781917076809406808e+01,1.086261097214062232e+02,-2.709431713961451038e+01
8.508967206061355171e+01,1.086439837437160634e+02,-2.830725968995160713e+01
1.021982813935376413e+02,1.089682460378605811e+02,-3.050756746331174796e+01
1.194539780817232923e+02,1.086628579952731428e+02,-2.925185354170374197e+01
1.369887461019440877e+02,1.084325031890865887e+02,-3.075378427781704360e+01
1.516640801670052099e+02,1.077892230755061149e+02,-2.968321986988573968e+01
1.883722578743444132e+01,1.166335032527885289e+02,-2.668039096315780156e+01
3.372158232567561953e+01,1.178580692719451548e+02,-2.665968151530812946e+01
5.080903357037959012e+01,1.182166861149801207e+02,-2.672296444570036300e+01
6.805269129947689066e+01,1.181192685370792503e+02,-2.700875202182588097e+01
8.523666102794901178e+01,1.180492863063256266e+02,-2.791578980219096096e+01
1.025015802029931677e+02,1.184058574058234825e+02,-2.968020262803153386e+01
1.194719428315767118e+02,1.180191116818651267e+02,-3.060055460132570460e+01
1.363818147906265779e+02,1.174957925217531880e+02,-3.011361054229187673e+01
3.386072569143557587e+01,1.268545055349617741e+02,-2.666838742406415008e+01
5.108432948044126221e+01,1.276046249156130443e+02,-2.670787220983745769e+01
6.840762591332141085e+01,1.275292059269945071e+02,-2.691136241486813674e+01
8.558228571492630010e+01,1.275112787825362517e+02,-2.749847560172129590e+01
1.026984536851370962e+02,1.278268468374696027e+02,-2.856174944842973673e+01
1.193803807644163726e+02,1.275764497566462694e+02,-2.932593995477379778e+01
1.356019813948994113e+02,1.267136193454458351e+02,-2.913040391847397359e+01
3.484934784663099094e+01,1.358146126511666978e+02,-2.667699126542175136e+01
5.108311300574946046e+01,1.369580426775674482e+02,-2.669702715445722774e+01
6.843833303820647984e+01,1.369311446511500776e+02,-2.682449170708288833e+01
8.547693496521661416e+01,1.370574892471404098e+02,-2.715982307733405321e+01
1.025509198366461447e+02,1.374097008789144638e+02,-2.772510059751759570e+01
1.192004270056416004e+02,1.370851048108901296e+02,-2.822129603695596956e+01
1.351203415069236371e+02,1.355469212948470101e+02,-2.843929762625120361e+01
5.149299253335460236e+01,1.453548191085053531e+02,-2.669824920306689364e+01
6.824233999849866450e+01,1.465759595814706984e+02,-2.677226389923027483e+01
8.493828754345788923e+01,1.466725271167701976e+02,-2.695433249010705268e+01
1.020058309935200498e+02,1.469787204651937031e+02,-2.727086098071627518e+01
1.191324118651997992e+02,1.456128593971555176e+02,-2.771206454575004585e+01
6.738313671493237678e+01,1.552231573940977682e+02,-2.675837471283028535e+01
8.443860232974773794e+01,1.564724882857807131e+02,-2.686770296098911004e+01
1.003988164414301139e+02,1.555310434450431956e+02,-2.706523120815813499e+01
6.100054731042718714e+01,1.928784625679033482e+01,-2.667538866353825711e+01
7.630562930998043214e+01,1.905317924887187075e+01,-2.669524506979433198e+01
9.249760138513516949e+01,1.896431634262923538e+01,-2.673455569649150831e+01
1.092845962644214097e+02,1.989292840656479200e+01,-2.677531534536554503e+01
4.271603736750785885e+01,2.940619600379194409e+01,-2.666227278563301084e+01
5.945171223072716771e+01,2.804245775137486518e+01,-2.666263393640229040e+01
7.641474677276301009e+01,2.886327554478215163e+01,-2.669887799402974338e+01
9.275535168155305144e+01,2.853250119196799162e+01,-2.676396144272956690e+01
4.212758632496434075e+01,3.806017757950370850e+01,-2.665251405762356995e+01
5.891071262671895425e+01,3.764507202631107674e+01,-2.666444322140041123e+01
7.618383970852769949e+01,3.832192962932369795e+01,-2.673464672143325771e+01
9.322138846634761933e+01,3.809584598313242765e+01,-2.686432557931093967e+01
2.613089543300173290e+01,4.713538657811216837e+01,-2.665313273127998528e+01
4.208132221286850694e+01,4.726475514566304525e+01,-2.664497104881710854e+01
5.859887275800836193e+01,4.726942839813472830e+01,-2.668091876384807648e+01
7.578277209218870780e+01,4.741949347262777792e+01,-2.680634923899403788e+01
9.327844391510639355e+01,4.764366747838493410e+01,-2.707448064916910013e+01
1.430133395086660073e+02,4.857314755572900822e+01,-2.768317929677050770e+01
2.635729571561288864e+01,5.677717176722044456e+01,-2.664717960983602296e+01
4.230801325663728107e+01,5.685566611075230981e+01,-2.664754328673332751e+01
5.899416561357853084e+01,5.693874700801575273e+01,-2.671612819249161674e+01
7.575142883452663511e+01,5.660459296671303520e+01,-2.692731634086000980e+01
9.325363820656978930e+01,5.691801364495827187e+01,-2.744974277667279949e+01
1.279936954707204961e+02,5.618045343454322449e+01,-2.844654456140608900e+01
1.455855676007525972e+02,5.709935067413621823e+01,-2.807846252702601930e+01
2.538110107713072594e+01,6.622406438758494573e+01,-2.664337192621871253e+01
4.244771447208176340e+01,6.639747769090654117e+01,-2.665579234515870866e+01
5.944471937029145181e+01,6.646949733717339370e+01,-2.676542509307818207e+01
7.636484452784860366e+01,6.591805870545999824e+01,-2.711530060817004184e+01
9.343805124590525679e+01,6.623590323896218024e+01,-2.803210053149001268e+01
1.107653649952686834e+02,6.588442546487718232e+01,-2.968394345967848125e+01
1.280467179413714121e+02,6.558705783122967148e+01,-2.972565292207878329e+01
1.447150578731326505e+02,6.687150010572004533e+01,-2.877624262906730124e+01
1.244855587276723341e+01,7.612820104681085809e+01,-2.669338752685787242e+01
2.433175079626135329e+01,7.567567766379389127e+01,-2.664489779979721362e+01
4.260101375112252953e+01,7.564116711204600563e+01,-2.666578065586606527e+01
5.988721181528422477e+01,7.574171298696269616e+01,-2.682108712902238068e+01
7.683913091693692365e+01,7.542129614045887820e+01,-2.734702546309369708e+01
9.354141373275226101e+01,7.572513632140334039e+01,-2.874554641484662199e+01
1.106735193830682817e+02,7.533212127855109941e+01,-3.056905835128296900e+01
1.278061155990205435e+02,7.525027905566815889e+01,-3.071214881486286785e+01
1.456581232014043508e+02,7.569036328364543920e+01,-2.949068433252178068e+01
2.587880299576912790e+01,8.466392931026099689e+01,-2.664371450997706248e+01
4.280824649960685235e+01,8.498347186499228201e+01,-2.667542592261430912e+01
5.991914728326030826e+01,8.496320894110260724e+01,-2.686527379958696571e+01
7.689418629977706132e+01,8.504725963752775897e+01,-2.755245155240425703e+01
9.375141096843874777e+01,8.528829159975684604e+01,-2.942121674614302407e+01
1.107357909294352254e+02,8.491893476633211435e+01,-3.079428753595897561e+01
1.278603819423062191e+02,8.473087808223961304e+01,-2.929086692307745921e+01
1.455244317310788347e+02,8.461509710288957820e+01,-3.010720050024172068e+01
1.317535172005852750e+01,9.202457721331923324e+01,-2.672148147920188777e+01
2.585642743995443382e+01,9.423519593711358766e+01,-2.664538239550500265e+01
4.274603336593679614e+01,9.452550031174291689e+01,-2.668125107401563412e+01
5.959860841283008170e+01,9.431023465373526449e+01,-2.688360630904074355e+01
7.657799922880435872e+01,9.452008974323615575e+01,-2.764216245639725500e+01
9.389774784331883950e+01,9.474487554771548048e+01,-2.979191483417957897e+01
1.109691362262226448e+02,9.457731729339539584e+01,-2.915878620303914914e+01
1.280332554296766148e+02,9.427188660840224088e+01,-2.898902264023506348e+01
1.451930406596149794e+02,9.416947804468843231e+01,-3.040955207909102853e+01
2.517844536929057497e+01,1.033499591829547768e+02,-2.664985211743261928e+01
4.249830262995278218e+01,1.040386496871439590e+02,-2.668088320198668484e+01
5.938434828976441793e+01,1.038560003947371939e+02,-2.687453266344062541e+01
7.638879612679781417e+01,1.038968254813319589e+02,-2.759925193686075673e+01
9.373177986970738118e+01,1.041304161891437303e+02,-2.967029817068859643e+01
1.108398710406280543e+02,1.041047124048602086e+02,-2.925190626490299550e+01
1.282335574159948521e+02,1.037860567453839309e+02,-2.921969179419055607e+01
1.452542961134089410e+02,1.037207033284239657e+02,-3.031130414731758904e+01
2.560580315726670975e+01,1.128106913887454397e+02,-2.665693825737475109e+01
4.227017666988535183e+01,1.135307281309397780e+02,-2.667733550205146642e+01
5.934270328186953236e+01,1.134096174776136365e+02,-2.684195276272908970e+01
7.649448000798838621e+01,1.132892872967460818e+02,-2.744802535379040265e+01
9.372685641739312246e+01,1.136166054184469232e+02,-2.911042132389476933e+01
1.108691605578780468e+02,1.134879918431111605e+02,-3.069454382131032588e+01
1.280408916780095581e+02,1.130439608731346652e+02,-3.077077038110168417e+01
1.455583786252373386e+02,1.134209908459599632e+02,-2.988233899633010537e+01
2.501110966140878489e+01,1.223656747702977583e+02,-2.666601447120951462e+01
4.238103759404114612e+01,1.231017560495971708e+02,-2.667533085055633180e+01
5.957643493352841091e+01,1.228292217548723073e+02,-2.679997671502967904e+01
7.685690835055835635e+01,1.227342999377912065e+02,-2.724393279300467086e+01
9.404011021947115978e+01,1.229883163648732420e+02,-2.835371414210221985e+01
1.111440029519114319e+02,1.229553954977045436e+02,-2.975263046367081188e+01
1.276834825213876599e+02,1.224251574375618787e+02,-2.996222681411404665e+01
1.439430145804741414e+02,1.219852863656784194e+02,-2.928277808727252207e+01
2.797981525411176662e+01,1.310001539851888595e+02,-2.669081304252576103e+01
4.275662261301307865e+01,1.327166278363467029e+02,-2.667674528903548037e+01
5.980804601302605050e+01,1.321699329024444580e+02,-2.675912943933887789e+01
7.707333013550946532e+01,1.321348145118461730e+02,-2.704465671472158306e+01
9.413314422772444345e+01,1.323904583268279112e+02,-2.768004045189293905e+01
1.109933401535129747e+02,1.325996425830517751e+02,-2.846087879944185772e+01
1.274686441945692650e+02,1.319427860966371497e+02,-2.875795011026539427e+01
1.419449119746927295e+02,1.299013276787208042e+02,-2.871537403845873015e+01
4.272361489908072940e+01,1.415564513610430879e+02,-2.668442706060507774e+01
6.002128751858626288e+01,1.414595180367652745e+02,-2.673240516259716060e+01
7.675669118031487415e+01,1.414338737771675767e+02,-2.689622314061380948e+01
9.379083203161839322e+01,1.417114896621334879e+02,-2.724265872491805496e+01
1.108916236362786520e+02,1.424095915737770213e+02,-2.767458265671825046e+01
1.273394800517258574e+02,1.406694767786548823e+02,-2.809109206281067372e+01
5.980904934323287137e+01,1.502589939692315966e+02,-2.672673193561990246e+01
7.659735029519761440e+01,1.505731176370350965e+02,-2.682212048530412574e+01
9.297270721961294271e+01,1.507013350852106441e+02,-2.701884340710055810e+01
1.095909706973681779e+02,1.509279358720110054e+02,-2.732080464983870272e+01
7.530841260799194004e+01,1.577134170938192881e+02,-2.679621352012966184e+01
9.222062464203727927e+01,1.583004077936228953e+02,-2.693783296833577268e+01
