x [um],y [um],Vmem [mV]
6.762640202007051471e+01,1.519353373627208725e+01,-1.392224221888499969e+01
8.491959852709355516e+01,1.483216689947952815e+01,-1.379570655643926358e+01
1.019674036431568283e+02,1.677697452867750627e+01,-1.337704652018033613e+01
5.228591708942305871e+01,2.485392431918499767e+01,-1.405447492450452529e+01
6.844586739653092877e+01,2.385548000622464926e+01,-1.399834624481611378e+01
8.491907847283202670e+01,2.349156634085620254e+01,-1.377886146264173917e+01
1.020426098947391438e+02,2.376761216176398150e+01,-1.338042673066056842e+01
3.528770741517854503e+01,3.440202180562466339e+01,-1.402483509678725326e+01
5.150368845743913937e+01,3.331473698838491515e+01,-1.411417468198842329e+01
6.803540911716071093e+01,3.310693281180646608e+01,-1.396079213970460664e+01
8.496089284166545497e+01,3.300780749022524674e+01,-1.351196125709609142e+01
1.019955689180014673e+02,3.301229094988460133e+01,-1.288319405814059238e+01
3.469073988649729046e+01,4.291261928454699870e+01,-1.409968816468911790e+01
5.120443940243148973e+01,4.246174740130611269e+01,-1.412072925258503631e+01
6.791518042560605295e+01,4.241198406823601630e+01,-1.377741225965588256e+01
8.482492701176435901e+01,4.237348022687501725e+01,-1.288570798544414053e+01
1.020479805137496356e+02,4.236717730772608803e+01,-1.161017442106398967e+01
1.966059442710609062e+01,5.395650966818640626e+01,-1.397329850195620615e+01
3.456247806079731077e+01,5.230616179643573105e+01,-1.417235746245595429e+01
5.102792366389179790e+01,5.193360618171843868e+01,-1.406562261974401906e+01
6.782561325009578468e+01,5.167497059556629324e+01,-1.343076044116030943e+01
8.509478802233364547e+01,5.167642240269982778e+01,-1.167945846349138073e+01
1.021229119900206683e+02,5.196274003100514705e+01,-8.944735887130923047e+00
1.369125873331445860e+02,5.248179656263870640e+01,-5.740677271056254583e+00
1.720549295345102436e+01,6.210498377156920213e+01,-1.406239433312960863e+01
3.410504807867119581e+01,6.172586972935759064e+01,-1.419264852672549360e+01
5.101855689400942850e+01,6.155749684071422223e+01,-1.395166761025346780e+01
6.796941015311520573e+01,6.090654938735191593e+01,-1.289153910825752014e+01
8.513369736601067927e+01,6.109300745649793640e+01,-9.736568725236841360e+00
1.019531308039669568e+02,6.152679139975104761e+01,-3.963051535862280428e+00
1.191325911250896183e+02,6.148848848252400501e+01,-6.125234991620952529e-01
1.366202202534807384e+02,6.162780339644491079e+01,-2.183559559159034880e+00
1.517286435014126482e+02,6.299933815637189127e+01,-4.026916776996069203e+00
1.696229138928270430e+01,7.142730566834353567e+01,-1.407056690175900293e+01
3.364558684527739274e+01,7.089402592649781809e+01,-1.418666158329078542e+01
5.101629365208995637e+01,7.092802947380123157e+01,-1.380479526775482135e+01
6.826732770059213351e+01,7.034389283532510717e+01,-1.215994077259268735e+01
