x [um],y [um],Vmem [mV]
6.770400583804331518e+01,1.637846469348694001e+01,-4.152511200902675625e+01
8.462389743406065179e+01,1.591108975765601663e+01,-4.152974340246051099e+01
1.030276422493952424e+02,1.664836928676526995e+01,-4.152967997516282850e+01
5.166297496881143303e+01,2.435171029725512426e+01,-4.152637609764389026e+01
6.787210862543471990e+01,2.396975013916378927e+01,-4.152732029171657757e+01
8.470622762646881654e+01,2.321154473292993003e+01,-4.153427163781188369e+01
1.019149692727071823e+02,2.356276650806885087e+01,-4.152961597874509181e+01
3.587982672798921868e+01,3.375763573316505983e+01,-4.152670682899857724e+01
5.128620010626838877e+01,3.344612787863451331e+01,-4.152786299087446764e+01
6.773424067476116761e+01,3.340200740733599361e+01,-4.153183345137413340e+01
8.460837695052543950e+01,3.288168047906957270e+01,-4.154105077397650092e+01
1.014692171336143929e+02,3.269673881159539519e+01,-4.153519464362063474e+01
3.501705905655130380e+01,4.294065200304541463e+01,-4.152654078033965845e+01
5.125208212831616095e+01,4.307732728188599225e+01,-4.153060427161768331e+01
6.783132685396277850e+01,4.294409399617867962e+01,-4.153713969743631651e+01
8.478121283831166011e+01,4.234028282883974015e+01,-4.155001570256750654e+01
1.018389988645964621e+02,4.205468165867223007e+01,-4.154155570986166879e+01
1.988106375395769732e+01,5.312041105045608447e+01,-4.152327983341167084e+01
3.430251406109093182e+01,5.226408164383055066e+01,-4.152714007721481693e+01
5.126738329927444937e+01,5.255551578893268783e+01,-4.153296392532180903e+01
6.813753425686999776e+01,5.253874931609879440e+01,-4.154452215765227407e+01
8.505908077318842686e+01,5.169184478784982417e+01,-4.156587847646195399e+01
1.024359089388415498e+02,5.142023319862799013e+01,-4.154354495415250881e+01
1.360865572419150737e+02,5.220065724158327924e+01,-4.168109236046648647e+01
1.495297537395056509e+02,5.330083669050166861e+01,-4.161358705432636640e+01
1.773209845997165957e+01,6.128577951912684085e+01,-4.152409688387971443e+01
3.414374447568239646e+01,6.192747839730003534e+01,-4.152776556054976709e+01
5.105305678767629018e+01,6.194777524176603833e+01,-4.153455947495950085e+01
6.816635537861918692e+01,6.194907207793335857e+01,-4.155208520025509245e+01
8.550520838461083883e+01,6.106427639126498974e+01,-4.158372216743023131e+01
1.024387131726044515e+02,6.091352506710670411e+01,-4.156170747510334706e+01
1.194296467446908565e+02,6.122288645675610752e+01,-4.160303676944338491e+01
1.361080957135257279e+02,6.190535870033566823e+01,-4.153349860079328693e+01
1.520041489786872830e+02,6.224350682755111563e+01,-4.161027975498546994e+01
1.637722337180565191e+01,7.077470800493036052e+01,-4.152494329925571037e+01
3.349852237370588881e+01,7.109418425000485797e+01,-4.152967832769476075e+01
5.077808220020870777e+01,7.138036522569710485e+01,-4.153861575884953794e+01
6.803607042384678039e+01,7.120168329890159953e+01,-4.156166805651209728e+01
8.543107565808388415e+01,7.046297264421360751e+01,-4.158768039312901266e+01
1.023733262469205982e+02,7.058937202713602233e+01,-4.131061368941647061e+01
1.194070298101452323e+02,7.066452880984840590e+01,-4.006407827155443613e+01
1.366138774857588203e+02,7.133856604861178141e+01,-4.101958584241457118e+01
1.533352913667410178e+02,7.168498348391484853e+01,-4.158330577948591866e+01
1.630973490562714190e+01,7.948434926922772092e+01,-4.152429970098002343e+01
3.367686299379843007e+01,8.038035441075224696e+01,-4.152924684494173135e+01
5.058251696367393180e+01,8.079926259021740975e+01,-4.154078341707375444e+01
6.783558959837448299e+01,8.037769442328144009e+01,-4.156976735773501019e+01
8.520389720062080130e+01,7.995226602110595593e+01,-4.156239916407903223e+01
1.023535543104489989e+02,8.009626588159051153e+01,-4.060245386177796689e+01
1.193536959506142807e+02,8.021398863797664092e+01,-3.320562703513443381e+01
1.365179144462438217e+02,8.056513071771173884e+01,-3.960715535038053758e+01
1.533923510648396586e+02,8.127963110453337947e+01,-4.151400402112984978e+01
1.798156238016905206e+01,8.918657532014449885e+01,-4.152444702533588128e+01
3.364452712967270287e+01,8.983202810036318908e+01,-4.152999542682073297e+01
5.078840296411045330e+01,9.024283240414642648e+01,-4.154282217099839158e+01
6.778173899138680270e+01,8.976879720593801437e+01,-4.157276184319285051e+01
8.488244242386330995e+01,8.927310981095565978e+01,-4.152246415133120649e+01
1.022466268022878921e+02,8.954532460020479334e+01,-3.931679610076601961e+01
1.194315895458412768e+02,8.969347268568098741e+01,-2.944040400873490526e+01
1.365026976138277917e+02,8.990998723387089342e+01,-3.821862603892316201e+01
1.533107948111124301e+02,9.019907027066055605e+01,-4.144932866515852510e+01
1.732355986642523860e+01,9.936076003441698390e+01,-4.152540006723824462e+01
3.369575614399717978e+01,9.926656125183440338e+01,-4.153155647058454036e+01
5.098652173422093625e+01,9.957950396279947824e+01,-4.154216221997120329e+01
6.810908940436985404e+01,9.927972841166749163e+01,-4.157517247841420271e+01
8.513872230419312359e+01,9.867825212109310939e+01,-4.150013186290792788e+01
1.021371146032338260e+02,9.888322531764266898e+01,-3.853747466593849680e+01
1.191961134410254459e+02,9.906115552687532499e+01,-2.861943392483680526e+01
1.364454011552151371e+02,9.913647600102699187e+01,-3.821657537786435910e+01
1.529335015226110954e+02,9.961623630508792360e+01,-4.143761051981321941e+01
1.726175460935055028e+01,1.079697372353795402e+02,-4.152443860637556838e+01
3.415754400404988900e+01,1.087137055573997770e+02,-4.153133514253755720e+01
5.090094845690173031e+01,1.089008320348665251e+02,-4.154177808751127543e+01
6.839547027705596349e+01,1.086107868193958126e+02,-4.157249879721405961e+01
8.549455668259743391e+01,1.082502112884469341e+02,-4.152645161747125258e+01
1.021275923745500620e+02,1.084454442475138336e+02,-3.963297640464707428e+01
1.188867419331057533e+02,1.084872165596323299e+02,-3.180892125742350984e+01
1.358160498933980023e+02,1.082065490039754394e+02,-3.939198436388231528e+01
1.528172592803269367e+02,1.084256426364891581e+02,-4.150617385882902965e+01
1.896623541896279619e+01,1.159296284686912060e+02,-4.152374608049075988e+01
3.385713529367153996e+01,1.184714414323155864e+02,-4.152788124015267357e+01
5.109418752682849174e+01,1.182929768312873193e+02,-4.153917696215707167e+01
6.811930719951290314e+01,1.178990067540848941e+02,-4.156389084339560469e+01
8.530733410296757313e+01,1.178010598577861856e+02,-4.157084525820413035e+01
1.022166447413764132e+02,1.180785704478196720e+02,-4.100658725094537260e+01
